000.000.00,AssetName,Distributor,Condition,Branch,YearsOfService,InitialPrice,FinalPrice,Bought,Available,Sold,PriceAfterSold,PriceBeforeSold
903.478.41,STENLILLE,Ikea Online,New,Ikea,10,120.00,120.00,N/Y,0,N/A,0.00,20.00
802.643.94,SVARTSJÖN,Ikea Online,New,Ikea,2,3.00,3.00,N/Y,0,N/A,0.00,0.00
803.297.91,PINNIG,Ikea Online,New, Ikea ,5,50.00,50.00,N/Y,0, N/A ,0.00,10.00
703.096.04,BRYNET,Ikea Online  ,New,Ikea,2,180.00,30.00,N/Y,0,N/A,0.00,10.00
692.238.28,GERTON / ALEX,Ikea Online,New,Ikea,10,444.00,222.00,N/Y,0,N/A,0.00,140.00
N/A,Sayl Stool,Herman Miller Online,New,HermanMiller,20,0,0,N/Y,0,N/A,0.00,410.00
N/A,Goetz Sofa,Herman Miller Online,New,HermanMiller,20,0,0,N/Y,0,N/A,0.00,"5,000.00"
N/A,Eames Lounge Chair and Ottoman,HermanMiller Online,New,HermanMiller,20,,,N/Y,0,N/A,0.00,"4,000.00"
N/A,Nelson Platform Bench,Herman Miller Online,New,HermanMiller,20,0,0,N/Y,0,N/A,0.00,"1,000.00"
602.758.12,KALLAX,Ikea Online,New,Ikea,10,35.00,35.00,N/Y,0,N/A,0.00,10.00
B0007PNMNA,Larin PTT-1 Portable Tool Tray,Amazon Online,New,Amazon,20,70.00,70.00,N/Y,0,N/A,0.00,20.00
B0009EUA0M,Pro-Lift C-3001 Pneumatic Chair,Amazon Online,New,Amazon,20,40.00,40.00,N/Y,0,N/A,0.00,10.00
301.675.07,MARTORP,Ikea Online,New,Ikea,5,40.00,40.00,N/Y,0,N/A,0.00,0.00
702.783.58,IKEA 365+,Ikea Online,New,Ikea,5,5.00,5.00,N/Y,0,N/A,0.00,0.00
802.564.45,DINERA Plate,Ikea Online,New,Ikea,5,10.00,10.00,N/Y,0,N/A,0.00,0.00
002.564.49,DINERA Bowl,Ikea Online,New,Ikea,5,10.00,10.00,N/Y,0,N/A,0.00,0.00
802.131.73,FINTORP,Ikea Online,New,Ikea,10,15.00,15.00,N/Y,0,N/A,0.00,0.00
903.339.76,RÅSKOG,Ikea Online,New,Ikea,10,50.00,25.00,N/Y,0,N/A,0.00,0.00
203.140.71,GIGANTISK,Ikea Online,New,Ikea,10,25.00,25.00,N/Y,0,N/A,0.00,0.00
601.495.31,SKÄNKA,Ikea Online,New,Ikea,10,35.00,35.00,N/Y,0,N/A,0.00,0.00
